station_m,depth_m,rho_ohm_m
33.2,5.0,162.7
37.9,5.0,167.8
42.7,5.0,175.4
47.4,5.0,164.9
52.2,5.0,167.9
56.9,5.0,176.9
61.7,5.0,148.5
66.4,5.0,135.3
71.2,5.0,138.9
75.9,5.0,116.6
80.6,5.0,93.1
85.4,5.0,79.4
90.1,5.0,65.0
94.9,5.0,71.8
99.6,5.0,74.6
104.4,5.0,100.2
109.1,5.0,103.7
113.8,5.0,124.5
118.6,5.0,146.2
123.3,5.0,151.2
128.1,5.0,166.4
132.8,5.0,163.6
137.6,5.0,161.1
142.3,5.0,167.7
147.1,5.0,162.0
151.8,5.0,153.9
156.5,5.0,157.3
161.3,5.0,160.0
166.0,5.0,162.6
170.8,5.0,167.2
175.5,5.0,173.7
180.3,5.0,170.8
185.0,5.0,180.6
0.0,6.2,186.7
4.7,6.2,175.0
9.5,6.2,189.7
14.2,6.2,186.0
19.0,6.2,172.9
23.7,6.2,179.0
28.5,6.2,185.3
33.2,6.2,178.4
37.9,6.2,184.5
42.7,6.2,179.3
47.4,6.2,181.1
52.2,6.2,171.3
56.9,6.2,173.4
61.7,6.2,161.0
66.4,6.2,158.6
71.2,6.2,124.0
75.9,6.2,120.3
80.6,6.2,106.3
85.4,6.2,82.7
90.1,6.2,67.2
94.9,6.2,71.7
99.6,6.2,71.3
104.4,6.2,89.7
109.1,6.2,114.7
113.8,6.2,136.3
118.6,6.2,160.9
123.3,6.2,156.8
128.1,6.2,178.4
132.8,6.2,161.3
137.6,6.2,169.2
142.3,6.2,175.9
147.1,6.2,185.7
151.8,6.2,171.6
156.5,6.2,159.4
161.3,6.2,179.9
166.0,6.2,176.3
170.8,6.2,167.9
175.5,6.2,168.2
180.3,6.2,171.0
185.0,6.2,177.3
0.0,7.5,192.9
4.7,7.5,175.7
9.5,7.5,205.9
14.2,7.5,187.3
19.0,7.5,184.6
23.7,7.5,192.9
28.5,7.5,188.4
33.2,7.5,206.2
37.9,7.5,196.2
42.7,7.5,184.2
47.4,7.5,183.3
52.2,7.5,180.6
56.9,7.5,178.2
61.7,7.5,179.3
66.4,7.5,157.1
71.2,7.5,158.3
75.9,7.5,123.2
80.6,7.5,99.8
85.4,7.5,88.8
90.1,7.5,53.8
94.9,7.5,62.2
99.6,7.5,86.0
104.4,7.5,101.0
109.1,7.5,123.8
113.8,7.5,148.5
118.6,7.5,157.5
123.3,7.5,172.5
128.1,7.5,170.0
132.8,7.5,169.6
137.6,7.5,196.5
142.3,7.5,179.6
147.1,7.5,181.7
151.8,7.5,198.7
156.5,7.5,196.0
161.3,7.5,183.3
166.0,7.5,183.3
170.8,7.5,186.9
175.5,7.5,179.9
180.3,7.5,191.9
185.0,7.5,188.7
0.0,8.8,200.3
4.7,8.8,205.3
9.5,8.8,205.0
14.2,8.8,214.0
19.0,8.8,211.4
23.7,8.8,185.6
28.5,8.8,206.4
33.2,8.8,190.3
37.9,8.8,187.7
42.7,8.8,204.5
47.4,8.8,192.4
52.2,8.8,193.7
56.9,8.8,200.8
61.7,8.8,179.6
66.4,8.8,165.5
71.2,8.8,157.4
75.9,8.8,142.0
80.6,8.8,112.2
85.4,8.8,74.8
90.1,8.8,69.9
94.9,8.8,73.9
99.6,8.8,102.6
104.4,8.8,115.2
109.1,8.8,139.0
113.8,8.8,164.4
118.6,8.8,170.2
123.3,8.8,188.7
128.1,8.8,196.2
132.8,8.8,188.4
137.6,8.8,197.9
142.3,8.8,203.3
147.1,8.8,190.5
151.8,8.8,205.7
156.5,8.8,205.3
161.3,8.8,207.5
166.0,8.8,193.1
170.8,8.8,200.1
175.5,8.8,210.9
180.3,8.8,205.6
185.0,8.8,193.0
0.0,10.0,213.4
4.7,10.0,223.0
9.5,10.0,211.0
14.2,10.0,214.7
19.0,10.0,232.2
23.7,10.0,211.3
28.5,10.0,210.8
33.2,10.0,203.5
37.9,10.0,206.2
42.7,10.0,223.1
47.4,10.0,209.2
52.2,10.0,199.0
56.9,10.0,197.0
61.7,10.0,196.9
66.4,10.0,190.4
71.2,10.0,159.9
75.9,10.0,148.3
80.6,10.0,113.8
85.4,10.0,99.2
90.1,10.0,88.0
94.9,10.0,88.7
99.6,10.0,92.8
104.4,10.0,116.3
109.1,10.0,146.6
113.8,10.0,155.4
118.6,10.0,185.5
123.3,10.0,200.8
128.1,10.0,212.6
132.8,10.0,208.0
137.6,10.0,208.7
142.3,10.0,212.1
147.1,10.0,205.4
151.8,10.0,209.7
156.5,10.0,214.6
161.3,10.0,213.6
166.0,10.0,203.0
170.8,10.0,208.8
175.5,10.0,194.4
180.3,10.0,217.7
185.0,10.0,207.1
0.0,11.2,226.1
4.7,11.2,215.4
9.5,11.2,223.5
14.2,11.2,227.7
19.0,11.2,232.0
23.7,11.2,213.2
28.5,11.2,230.9
33.2,11.2,222.8
37.9,11.2,217.8
42.7,11.2,227.5
47.4,11.2,220.5
52.2,11.2,218.5
56.9,11.2,211.2
61.7,11.2,211.0
66.4,11.2,196.9
71.2,11.2,176.8
75.9,11.2,147.2
80.6,11.2,125.8
85.4,11.2,111.6
90.1,11.2,106.1
94.9,11.2,95.7
99.6,11.2,119.7
104.4,11.2,129.8
109.1,11.2,146.1
113.8,11.2,183.2
118.6,11.2,188.9
123.3,11.2,212.4
128.1,11.2,225.4
132.8,11.2,218.4
137.6,11.2,222.1
142.3,11.2,243.3
147.1,11.2,225.8
151.8,11.2,226.1
156.5,11.2,230.3
161.3,11.2,223.3
166.0,11.2,223.3
170.8,11.2,227.1
175.5,11.2,204.9
180.3,11.2,235.4
185.0,11.2,215.5
0.0,12.5,228.7
4.7,12.5,241.6
9.5,12.5,237.5
14.2,12.5,227.3
19.0,12.5,239.0
23.7,12.5,228.2
28.5,12.5,231.8
33.2,12.5,225.3
37.9,12.5,230.6
42.7,12.5,240.1
47.4,12.5,237.1
52.2,12.5,236.7
56.9,12.5,237.6
61.7,12.5,222.5
66.4,12.5,205.2
71.2,12.5,190.2
75.9,12.5,182.7
80.6,12.5,145.4
85.4,12.5,126.7
90.1,12.5,111.1
94.9,12.5,113.8
99.6,12.5,127.5
104.4,12.5,145.1
109.1,12.5,168.3
113.8,12.5,186.2
118.6,12.5,203.7
123.3,12.5,226.1
128.1,12.5,236.2
132.8,12.5,241.6
137.6,12.5,236.5
142.3,12.5,230.3
147.1,12.5,242.2
151.8,12.5,242.2
156.5,12.5,225.3
161.3,12.5,243.7
166.0,12.5,242.0
170.8,12.5,250.6
175.5,12.5,228.3
180.3,12.5,227.1
185.0,12.5,243.6
0.0,13.8,236.6
4.7,13.8,245.1
9.5,13.8,242.2
14.2,13.8,242.9
19.0,13.8,235.7
23.7,13.8,249.0
28.5,13.8,258.7
33.2,13.8,254.4
37.9,13.8,254.4
42.7,13.8,247.7
47.4,13.8,261.3
52.2,13.8,252.2
56.9,13.8,252.6
61.7,13.8,224.7
66.4,13.8,228.0
71.2,13.8,198.9
75.9,13.8,189.0
80.6,13.8,164.5
85.4,13.8,133.8
90.1,13.8,132.5
94.9,13.8,140.4
99.6,13.8,146.8
104.4,13.8,167.6
109.1,13.8,179.4
113.8,13.8,202.7
118.6,13.8,216.5
123.3,13.8,238.2
128.1,13.8,253.8
132.8,13.8,251.6
137.6,13.8,249.9
142.3,13.8,241.7
147.1,13.8,254.5
151.8,13.8,249.1
156.5,13.8,235.9
161.3,13.8,237.3
166.0,13.8,248.4
170.8,13.8,243.9
175.5,13.8,264.2
180.3,13.8,251.4
185.0,13.8,242.8
0.0,15.0,261.0
4.7,15.0,277.6
9.5,15.0,257.4
14.2,15.0,271.1
19.0,15.0,268.4
23.7,15.0,276.6
28.5,15.0,269.2
33.2,15.0,261.7
37.9,15.0,269.0
42.7,15.0,265.1
47.4,15.0,271.6
52.2,15.0,261.7
56.9,15.0,274.4
61.7,15.0,251.2
66.4,15.0,244.5
71.2,15.0,219.7
75.9,15.0,205.6
80.6,15.0,183.1
85.4,15.0,165.5
90.1,15.0,160.4
94.9,15.0,148.9
99.6,15.0,157.4
104.4,15.0,191.7
109.1,15.0,202.4
113.8,15.0,219.7
118.6,15.0,250.3
123.3,15.0,258.3
128.1,15.0,237.7
132.8,15.0,259.3
137.6,15.0,270.2
142.3,15.0,271.3
147.1,15.0,260.8
151.8,15.0,277.5
156.5,15.0,258.7
161.3,15.0,263.2
166.0,15.0,266.1
170.8,15.0,265.0
175.5,15.0,271.5
180.3,15.0,273.2
185.0,15.0,264.7
0.0,16.2,290.3
4.7,16.2,273.7
9.5,16.2,277.5
14.2,16.2,292.9
19.0,16.2,280.0
23.7,16.2,287.7
28.5,16.2,275.8
33.2,16.2,277.1
37.9,16.2,278.3
42.7,16.2,280.2
47.4,16.2,275.5
52.2,16.2,276.8
56.9,16.2,278.8
61.7,16.2,277.1
66.4,16.2,258.3
71.2,16.2,248.0
75.9,16.2,231.6
80.6,16.2,195.9
85.4,16.2,174.9
90.1,16.2,190.4
94.9,16.2,188.0
99.6,16.2,187.9
104.4,16.2,207.3
109.1,16.2,216.8
113.8,16.2,231.8
118.6,16.2,260.0
123.3,16.2,255.7
128.1,16.2,280.8
132.8,16.2,271.3
137.6,16.2,280.6
142.3,16.2,294.3
147.1,16.2,294.2
151.8,16.2,277.1
156.5,16.2,287.7
161.3,16.2,271.0
166.0,16.2,274.6
170.8,16.2,282.2
175.5,16.2,290.3
180.3,16.2,274.7
185.0,16.2,283.5
0.0,17.5,294.3
4.7,17.5,283.4
9.5,17.5,292.4
14.2,17.5,305.4
19.0,17.5,292.7
23.7,17.5,297.5
28.5,17.5,300.1
33.2,17.5,287.6
37.9,17.5,303.2
42.7,17.5,305.1
47.4,17.5,305.3
52.2,17.5,301.7
56.9,17.5,284.7
61.7,17.5,278.3
66.4,17.5,267.8
71.2,17.5,253.9
75.9,17.5,238.3
80.6,17.5,234.9
85.4,17.5,223.5
90.1,17.5,197.9
94.9,17.5,209.5
99.6,17.5,201.8
104.4,17.5,224.4
109.1,17.5,236.7
113.8,17.5,248.1
118.6,17.5,274.5
123.3,17.5,283.6
128.1,17.5,285.0
132.8,17.5,287.0
137.6,17.5,284.6
142.3,17.5,292.0
147.1,17.5,288.5
151.8,17.5,295.3
156.5,17.5,283.7
161.3,17.5,295.2
166.0,17.5,297.4
170.8,17.5,303.3
175.5,17.5,301.7
180.3,17.5,294.9
185.0,17.5,287.9
0.0,18.8,293.1
4.7,18.8,307.7
9.5,18.8,319.0
14.2,18.8,321.0
19.0,18.8,287.4
23.7,18.8,301.7
28.5,18.8,304.9
33.2,18.8,299.4
37.9,18.8,309.1
42.7,18.8,307.7
47.4,18.8,302.8
52.2,18.8,305.5
56.9,18.8,290.6
61.7,18.8,290.9
66.4,18.8,283.8
71.2,18.8,286.8
75.9,18.8,252.4
80.6,18.8,248.4
85.4,18.8,243.2
90.1,18.8,228.9
94.9,18.8,235.8
99.6,18.8,231.8
104.4,18.8,253.6
109.1,18.8,272.6
113.8,18.8,297.5
118.6,18.8,296.7
123.3,18.8,310.1
128.1,18.8,303.4
132.8,18.8,306.6
137.6,18.8,319.5
142.3,18.8,312.1
147.1,18.8,319.0
151.8,18.8,313.4
156.5,18.8,324.7
161.3,18.8,326.8
166.0,18.8,301.1
170.8,18.8,322.6
175.5,18.8,311.2
180.3,18.8,311.6
185.0,18.8,306.9
0.0,20.0,328.0
4.7,20.0,313.4
9.5,20.0,316.5
14.2,20.0,316.2
19.0,20.0,324.6
23.7,20.0,329.7
28.5,20.0,328.2
33.2,20.0,325.3
37.9,20.0,317.5
42.7,20.0,308.0
47.4,20.0,324.9
52.2,20.0,321.9
56.9,20.0,321.5
61.7,20.0,326.1
66.4,20.0,306.7
71.2,20.0,297.0
75.9,20.0,268.1
80.6,20.0,278.2
85.4,20.0,262.2
90.1,20.0,250.2
94.9,20.0,259.2
99.6,20.0,254.2
104.4,20.0,269.4
109.1,20.0,302.3
113.8,20.0,304.7
118.6,20.0,315.6
123.3,20.0,320.7
128.1,20.0,323.8
132.8,20.0,322.3
137.6,20.0,340.0
142.3,20.0,321.5
147.1,20.0,328.2
151.8,20.0,320.6
156.5,20.0,319.5
161.3,20.0,302.8
166.0,20.0,306.9
170.8,20.0,334.7
175.5,20.0,334.2
180.3,20.0,318.8
185.0,20.0,322.1
0.0,21.2,341.8
4.7,21.2,328.9
9.5,21.2,351.1
14.2,21.2,328.6
19.0,21.2,331.1
23.7,21.2,314.8
28.5,21.2,349.0
33.2,21.2,337.3
37.9,21.2,349.8
42.7,21.2,328.7
47.4,21.2,339.0
52.2,21.2,336.1
56.9,21.2,335.4
61.7,21.2,347.1
66.4,21.2,343.3
71.2,21.2,328.3
75.9,21.2,304.1
80.6,21.2,303.8
85.4,21.2,298.3
90.1,21.2,286.6
94.9,21.2,286.7
99.6,21.2,291.4
104.4,21.2,289.4
109.1,21.2,309.3
113.8,21.2,330.1
118.6,21.2,317.2
123.3,21.2,331.2
128.1,21.2,340.4
132.8,21.2,324.6
137.6,21.2,335.2
142.3,21.2,323.0
147.1,21.2,331.9
151.8,21.2,325.5
156.5,21.2,329.6
161.3,21.2,332.9
166.0,21.2,334.6
170.8,21.2,335.2
175.5,21.2,317.5
180.3,21.2,349.5
185.0,21.2,334.6
0.0,22.5,342.7
4.7,22.5,346.4
9.5,22.5,353.9
14.2,22.5,343.4
19.0,22.5,348.1
23.7,22.5,347.7
28.5,22.5,355.7
33.2,22.5,345.4
37.9,22.5,355.0
42.7,22.5,354.0
47.4,22.5,349.8
52.2,22.5,360.2
56.9,22.5,349.1
61.7,22.5,336.9
66.4,22.5,344.4
71.2,22.5,336.6
75.9,22.5,327.3
80.6,22.5,320.9
85.4,22.5,330.5
90.1,22.5,309.2
94.9,22.5,311.0
99.6,22.5,309.7
104.4,22.5,329.5
109.1,22.5,327.2
113.8,22.5,329.2
118.6,22.5,332.2
123.3,22.5,350.5
128.1,22.5,354.9
132.8,22.5,337.6
137.6,22.5,345.2
142.3,22.5,356.4
147.1,22.5,359.6
151.8,22.5,340.8
156.5,22.5,348.1
161.3,22.5,358.1
166.0,22.5,347.1
170.8,22.5,347.8
175.5,22.5,347.1
180.3,22.5,340.9
185.0,22.5,351.8
0.0,23.8,368.6
4.7,23.8,354.9
9.5,23.8,366.9
14.2,23.8,375.0
19.0,23.8,367.8
23.7,23.8,373.7
28.5,23.8,361.7
33.2,23.8,377.1
37.9,23.8,359.8
42.7,23.8,381.1
47.4,23.8,362.2
52.2,23.8,359.5
56.9,23.8,357.0
61.7,23.8,358.8
66.4,23.8,354.8
71.2,23.8,348.2
75.9,23.8,344.8
80.6,23.8,346.0
85.4,23.8,341.9
90.1,23.8,328.8
94.9,23.8,341.4
99.6,23.8,326.9
104.4,23.8,332.5
109.1,23.8,338.4
113.8,23.8,358.5
118.6,23.8,346.3
123.3,23.8,350.9
128.1,23.8,374.4
132.8,23.8,379.0
137.6,23.8,376.5
142.3,23.8,354.1
147.1,23.8,366.2
151.8,23.8,372.7
156.5,23.8,366.9
161.3,23.8,353.2
166.0,23.8,363.4
170.8,23.8,352.5
175.5,23.8,356.2
180.3,23.8,383.3
185.0,23.8,371.5
0.0,25.0,369.1
4.7,25.0,368.9
9.5,25.0,384.5
14.2,25.0,376.0
19.0,25.0,385.5
23.7,25.0,375.7
28.5,25.0,379.3
33.2,25.0,382.8
37.9,25.0,372.6
42.7,25.0,365.4
47.4,25.0,371.0
52.2,25.0,374.6
56.9,25.0,377.7
61.7,25.0,377.3
66.4,25.0,374.6
71.2,25.0,375.4
75.9,25.0,359.4
80.6,25.0,372.5
85.4,25.0,372.9
90.1,25.0,357.2
94.9,25.0,355.8
99.6,25.0,366.8
104.4,25.0,366.5
109.1,25.0,368.0
113.8,25.0,370.0
118.6,25.0,369.2
123.3,25.0,368.4
128.1,25.0,384.6
132.8,25.0,389.7
137.6,25.0,372.1
142.3,25.0,380.1
147.1,25.0,382.5
151.8,25.0,377.4
156.5,25.0,374.7
161.3,25.0,377.7
166.0,25.0,365.0
170.8,25.0,380.3
175.5,25.0,378.4
180.3,25.0,397.7
185.0,25.0,388.3
0.0,26.2,392.9
4.7,26.2,395.6
9.5,26.2,409.3
14.2,26.2,408.5
19.0,26.2,397.1
23.7,26.2,394.6
28.5,26.2,384.1
33.2,26.2,393.0
37.9,26.2,394.2
42.7,26.2,389.7
47.4,26.2,409.3
52.2,26.2,380.1
56.9,26.2,393.4
61.7,26.2,396.6
66.4,26.2,394.9
71.2,26.2,402.0
75.9,26.2,373.7
80.6,26.2,375.0
85.4,26.2,378.4
90.1,26.2,376.8
94.9,26.2,372.6
99.6,26.2,371.6
104.4,26.2,389.6
109.1,26.2,376.5
113.8,26.2,383.9
118.6,26.2,402.9
123.3,26.2,407.2
128.1,26.2,401.5
132.8,26.2,388.2
137.6,26.2,388.6
142.3,26.2,388.3
147.1,26.2,386.5
151.8,26.2,392.3
156.5,26.2,405.8
161.3,26.2,397.4
166.0,26.2,389.6
170.8,26.2,389.4
175.5,26.2,386.2
180.3,26.2,405.2
185.0,26.2,379.4
0.0,27.5,412.6
4.7,27.5,398.9
9.5,27.5,402.0
14.2,27.5,398.5
19.0,27.5,418.1
23.7,27.5,409.8
28.5,27.5,432.3
33.2,27.5,402.1
37.9,27.5,401.6
42.7,27.5,415.1
47.4,27.5,414.7
52.2,27.5,407.8
56.9,27.5,393.4
61.7,27.5,420.2
66.4,27.5,411.8
71.2,27.5,408.3
75.9,27.5,397.7
80.6,27.5,404.8
85.4,27.5,392.7
90.1,27.5,396.1
94.9,27.5,394.2
99.6,27.5,407.2
104.4,27.5,395.8
109.1,27.5,399.6
113.8,27.5,413.9
118.6,27.5,408.9
123.3,27.5,408.4
128.1,27.5,407.5
132.8,27.5,417.5
137.6,27.5,404.9
142.3,27.5,413.9
147.1,27.5,426.4
151.8,27.5,413.4
156.5,27.5,403.9
161.3,27.5,400.6
166.0,27.5,411.3
170.8,27.5,400.3
175.5,27.5,397.4
180.3,27.5,404.1
185.0,27.5,401.4
0.0,28.8,432.0
4.7,28.8,413.4
9.5,28.8,437.7
14.2,28.8,419.0
19.0,28.8,425.9
23.7,28.8,430.4
28.5,28.8,426.8
33.2,28.8,430.7
37.9,28.8,417.1
42.7,28.8,406.7
47.4,28.8,423.2
52.2,28.8,411.2
56.9,28.8,419.7
61.7,28.8,431.3
66.4,28.8,421.1
71.2,28.8,416.4
75.9,28.8,410.3
80.6,28.8,414.9
85.4,28.8,414.1
90.1,28.8,401.9
94.9,28.8,416.9
99.6,28.8,406.9
104.4,28.8,419.0
109.1,28.8,415.6
113.8,28.8,429.1
118.6,28.8,429.5
123.3,28.8,423.7
128.1,28.8,423.4
132.8,28.8,428.1
137.6,28.8,435.8
142.3,28.8,433.4
147.1,28.8,426.2
151.8,28.8,427.5
156.5,28.8,437.6
161.3,28.8,411.9
166.0,28.8,429.4
170.8,28.8,417.8
175.5,28.8,435.9
180.3,28.8,421.1
185.0,28.8,424.2
0.0,30.0,431.4
4.7,30.0,440.2
9.5,30.0,446.5
14.2,30.0,453.5
19.0,30.0,430.0
23.7,30.0,436.6
28.5,30.0,471.5
33.2,30.0,447.8
37.9,30.0,440.2
42.7,30.0,444.4
47.4,30.0,418.9
52.2,30.0,453.1
56.9,30.0,441.2
61.7,30.0,428.0
66.4,30.0,448.2
71.2,30.0,432.7
75.9,30.0,428.2
80.6,30.0,439.3
85.4,30.0,437.1
90.1,30.0,429.5
94.9,30.0,432.6
99.6,30.0,423.1
104.4,30.0,423.5
109.1,30.0,443.7
113.8,30.0,448.4
118.6,30.0,442.3
123.3,30.0,442.6
128.1,30.0,436.8
132.8,30.0,439.2
137.6,30.0,432.8
142.3,30.0,454.4
147.1,30.0,435.9
151.8,30.0,443.7
156.5,30.0,440.4
161.3,30.0,429.2
166.0,30.0,455.9
170.8,30.0,437.4
175.5,30.0,434.3
180.3,30.0,441.3
185.0,30.0,433.2
